verdict,id,name,city,vegan_level,osm_id,osm_diet_vegan,website_status,strong_hits,counter_hits,hc_listed,chain_hit,reasoning,slug
WRONG,7e8180f1-2987-46bf-a4bb-f36b5825c09b,"Pura Vida Tacos",Antwerp,fully_vegan,11738859869,only,200,"beef, chicken, chorizo","",no,,"OSM diet:vegan="only" | Website mentions raw animal flesh: beef, chicken, chorizo | Not in HappyCow vegan list for this city",pura-vida-tacos-antwerpen
SUSPECT,8226884a-a73b-4a16-9ee0-571373d429f7,"Leopold",Brussels,fully_vegan,4413615489,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",leopold-brussels
WRONG,42fc3977-1e5c-4eb5-817a-4b1b8492e7e3,"Bodhi",Leuven,fully_vegan,9966842857,only,200,"chicken, duck, calamari","100% vegan",yes,,"OSM diet:vegan="only" | Website mentions raw animal flesh: chicken, duck, calamari | Website confirms vegan: 100% vegan | HappyCow lists as Vegan for this city",bodhi-leuven
CONFIRMED,5057f1ce-f77d-4148-b994-49f8e0238da3,"KAROOT",Ghent,fully_vegan,9665581800,only,200,"","",yes,,"OSM diet:vegan="only" | HappyCow lists as Vegan for this city",karoot-gent
SUSPECT,a94c94e0-89da-467e-8b48-05f00914f6af,"Manneken Frites",Brussels,fully_vegan,4413881585,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",manneken-frites-brussels
WRONG,461e2a31-3f22-4342-984c-04d7b8fbcf91,"Le Pain Quotidien",Ixelles,fully_vegan,2463358720,yes,200,"beef, chicken, salmon, tuna, ham, bacon, turkey, prosciutto","",no,\ble pain quotidien\b,"OSM diet:vegan="yes" | Website mentions raw animal flesh: beef, chicken, salmon, tuna, ham | Name matches chain pattern: \ble pain quotidien\b",le-pain-quotidien-ixelles
CONFIRMED,0994b7d1-734c-4d4d-b57b-acff79f5c77f,"Kreatief Hair & Beauty",Sint-Niklaas,fully_vegan,11622129211,only,200,"","100% vegan",no,,"OSM diet:vegan="only" | Website confirms vegan: 100% vegan",kreatief-hair-beauty-sint-niklaas
CONFIRMED,889a1fcb-fef3-4326-9ba1-8a97c37dd631,"Rokko",Ghent,fully_vegan,12659929329,only,200,"","",no,,"OSM diet:vegan="only" | Not in HappyCow vegan list for this city",rokko-gent
SUSPECT,9f5f3e77-78e1-47d0-8261-d97174cb7a40,"El Verde",Genk,fully_vegan,,,200,"turkey","",no,,"Website mentions raw animal flesh: turkey",el-verde-genk
SUSPECT,4dca9045-c9f5-4f70-8a02-a4e9731d60bd,"Den Johnny",Ghent,fully_vegan,13608226201,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",den-johnny-ghent
SUSPECT,533d6bd5-4575-488a-878b-9c258533efe8,"Coupe Matadi",Wilsele,fully_vegan,8990475606,yes,200,"","",no,,"OSM diet:vegan="yes"",coupe-matadi-wilsele
SUSPECT,c0ced67a-ba7a-41ec-9755-1b7f65efe2b2,"Frimout",Ghent,fully_vegan,2275104999,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",frimout-ghent
