web_suspicion,db_score,id,slug,name,city,country,source,website,top_hits
"6","8","63fb8c51-3df0-4db5-b6f7-d9d864852a69","lohninger-frankfurt-am-main","Lohninger","Frankfurt am Main","Germany","osm-import-2026-04","https://lohninger.de/","tuna:5,salmon:4,fisch:3,beef:2,cod:2,lachs:2"
"6","7","058384e4-03db-4926-8706-43ce4d0da935","montague-gyros-worthing","Montague Gyros","Worthing","United Kingdom","osm-import-2026-04","https://www.montaguegyros.co.uk/","chicken:9,pork:7,lamb:6,beef:4,sausage:3,fish:1"
"6","7","bed201bd-223a-4332-bb53-c66413a1d66e","where-the-pancakes-are-greater-london","where the pancakes are","London","United Kingdom","osm-import-2026-04","https://www.wherethepancakesare.com/","bacon:7,chicken:6,beef:2,salmon:2,pork:1"
"6","6","1386cdc0-b4f9-40ed-98bb-0096589ca4af","royal-india-augsburg","Royal India","Augsburg","Germany","osm-import-2026-04","https://www.royal-india-augsburg-augsburg.de/","chicken:38,ente:24,lamm:19,fisch:13,hähnchen:2,fish:1"
"6","6","4e28704f-95e6-41dc-8b8b-b08d3de4a940","the-grain-cafe-redondo-beach","The Grain Cafe","Redondo Beach","United States","openstreetmap","https://elgraincafe.com/","chicken:22,bacon:9,sausage:7,tuna:6,chorizo:4,pollo:1"
"6","6","93c6d6d0-8224-4bc2-bd6d-c84094d74296","buddha-s-eye-koln","Buddha's Eye","Cologne","Germany","osm-import-2026-04","https://www.buddhaseye.de","chicken:53,pork:32,lamb:13,beef:12,shrimp:8,duck:3"
"6","6","b14d5ff5-fbdd-41d5-829e-98a3666db9ad","stannary-kitchen-tremough","Stannary Kitchen","Tremough","United Kingdom","osm-import-2026-04","https://www.fxplus.ac.uk/enjoy/stannary/stannary-restaurant","chicken:16,fish:4,beef:3,prawn:3,bacon:2,pork:1"
"6","6","df814657-d181-404b-be47-26b9df4e0c3c","centrale-potsdam","Centrale","Potsdam","Germany","osm-import-2026-04","https://www.pizzeriacentraleantipasteria.de/","salami:4,pollo:3,schinken:3,tonno:2,thunfisch:2,salsiccia:2"
"6","6","f664f08a-60a5-4d08-84ef-db9cfdabe30d","hiroshi-s-poke-seattle","Hiroshi's Poke","Seattle","United States","osm-import-2026-04","http://hiroshis.com","chicken:11,beef:9,shrimp:5,pork:4,oyster:3,salmon:3"
"6","6","f9d9298f-364e-4362-a72a-dc61dd2dd2e9","veggicano-mexico-city","Veggicano","Mexico City","Mexico","openstreetmap","https://veggicano.com.mx","chicken:5,chorizo:4,pollo:4,salchicha:3,jamón:2,pescado:2"
"6","5","1462119e-eeb8-456e-a6ca-702c7e637801","taj-mahal-belfort","Taj Mahal","Belfort","Germany","osm-import-2026-04","http://www.tajmahal90.fr","agneau:36,poulet:32,chicken:18,fish:6,boeuf:5,bœuf:4"
"6","5","25f4d189-2b86-4d86-85ef-6cb5591525e7","reverie-brooklyn","Reverie","Brooklyn","United States","openstreetmap","https://reveriebrooklyn.com/","salmon:3,tuna:3,beef:2,lamb:2,jamon:2,chicken:2"
"6","5","575fe920-e6bd-411a-95e1-3a03709bc04e","niko-niko-tei-mainz","Niko Niko Tei","Mainz","Germany","osm-import-2026-04","https://www.nikonikotei.de/","lachs:11,fisch:7,thunfisch:7,tintenfisch:1,garnele:1,tuna:1"
"6","5","6338ef64-b627-49c4-9ea5-41cc8931c63d","monki-nurnberg","monki","Nürnberg","Germany","osm-import-2026-04","https://www.monkiramen.de","chicken:21,pork:14,salmon:4,fish:4,hähnchen:3,lachs:3"
"6","5","694162a1-16f3-4e31-b163-4ec3357a5ea3","allington-cafe-chippenham","Allington Cafe","Chippenham","United Kingdom","osm-import-2026-04","https://allingtoncafe.co.uk/","chicken:23,bacon:21,beef:15,sausage:13,ham:9,pork:8"
"6","5","a06d1177-43df-4be5-9452-40dcc22e2611","fiction-kitchen-raleigh","Fiction Kitchen","Raleigh","United States","vegguide-import-2026-04-17","https://thefictionkitchen.com","chicken:12,bacon:5,oyster:4,pork:2,pepperoni:1,beef:1"
"6","5","c7393ae7-e551-4c8c-af2e-d5af2aa34ae1","thuyen-vien-anaheim","Thuyen Vien","Anaheim","United States","vegguide-import-2026-04-17","https://thuyenvien.weebly.com","chicken:12,fish:5,pork:4,beef:4,shrimp:3,duck:2"
"6","4","c70498d5-b881-42ab-afac-be1c94b093a5","katopazzo-die-totem-bar-munchen","Katopazzo & die Totem Bar","Munich","Germany","foursquare-discover-2026-04-18","https://www.katopazzo.de","chicken:7,beef:5,lachs:3,porc:2,hähnchen:1"
"6","3","e61c8170-76cd-429a-878e-08483ec70a8d","ma-loa-berlin","Ma'loa","Berlin","Germany","osm_validated_batch3_retry","https://maloa.com/","tuna:8,chicken:6,lachs:4,thunfisch:3,salmon:2,shrimp:1"
"5","9","6ad24555-3933-4683-8f36-72cab8b12329","cheeseburger-eddy-koln","Cheeseburger Eddy","Cologne","Germany","osm-import-2026-04","https://cheeseburgereddy.de/","chicken:12,bacon:3,thunfisch:2,tonno:1,pollo:1"
"5","8","197ac468-f432-4d62-ae6a-fbf51de8beff","sushi-supply-hamburg","Sushi Supply","Hamburg","Germany","osm-import-2026-04","https://sushisupply.de","lachs:16,thunfisch:10,fisch:6,chicken:2"
"5","8","2df0b74b-9508-4786-9193-94ef91e3cbd1","kebab-grill-xolldi-ccc-zurich","Kebab Grill Xolldi CCC","Zurich","Switzerland","osm-import-2026-04","https://www.xolldiccc.ch/","rind:1,schinken:1,salami:1,poulet:1,lamm:1"
"5","7","06627305-7f47-4946-8fa0-57024eed0222","ajino-sushi-bar-mannheim","Ajino Sushi-Bar","Mannheim","Germany","osm-import-2026-04","http://www.ajino-sushibar.de","lachs:12,thunfisch:9,tuna:2,fisch:1,hähnchen:1,garnele:1"
"5","7","24e9162b-5606-4f00-af1e-2e54b1d238c1","rangoli-koln","Rangoli","Cologne","Germany","osm-import-2026-04","https://rangoli-koeln.de","lamb:1,fisch:1,hähnchen:1,chicken:1,fish:1"
"5","7","986e2353-af01-4e4d-92c1-a6e3abfb30ef","pizzaone-chemnitz","PizzaOne","Chemnitz","Germany","osm-import-2026-04","https://pizzaone.simplywebshop.de","chicken:11,salami:10,bacon:6,thunfisch:5,schinken:2,hähnchen:2"
"5","7","ec80c0bb-647f-43f4-a0a9-ec302e2f97a5","zachary-s-chicago-pizza-oakland","Zachary's Chicago Pizza","Oakland","United States","osm-import-2026-04","https://zacharys.com/locations/oakland-rockridge","chicken:10,bacon:5,pepperoni:4,sausage:4,salami:1,beef:1"
"5","6","4a0fe8fa-e006-47df-bc2e-f69f023c3e5a","raja-rani-heidelberg-vaxt","Raja Rani","Heidelberg","Germany","osm-import-2026-04","https://www.rajaraniheidelberg.de/","chicken:3,lamm:3,lachs:2,hähnchen:1,fisch:1"
"5","6","ff4579f7-ff33-43c2-9e4b-4170a4b4b79c","le-massala-schiltigheim","Le Massala","Schiltigheim","Germany","osm-import-2026-04","https://lemassala.fr/","poulet:3,bœuf:3,agneau:1,dinde:1,fish:1,veau:1"
"5","5","36a44837-7ca7-4b66-9d05-a1888f7cf459","naanu-zurich","naanu","Zurich","Switzerland","openstreetmap","https://naanu.ch/","poulet:2,rind:1,chicken:1,lachs:1,lamm:1"
